CMTE_ID,CMTE_NM,TTL_RECEIPTS,TTL_DISBURSEMENTS,MEGADONOR_RECEIPTS,MEGADONOR_DEPENDENCY,DEPENDENCY_CLASS,PTY_GROUP
C00587022,COURAGEOUS CONSERVATIVES PAC,268853.68,228736.51,65686.0,0.28718078757645576,MEGADONOR_INFLUENCED,REP
C00589747,AMERICAN PATRIOTS LLC,0.0,0.0,,0.0,BROAD_BASED,
C00591040,USA SUPER PAC INC,0.0,0.0,,0.0,BROAD_BASED,
C00591131,FRUGAL HOOSIERS,0.0,0.0,,0.0,BROAD_BASED,
C00592303,OREGON RIGHT TO LIFE VICTORY PAC,184229.13,32556.3,0.0,0.0,BROAD_BASED,BIPARTISAN
C00592337,"STAND FOR TRUTH, INC.",0.0,0.0,,0.0,BROAD_BASED,
C00592808,THE COLLECTIVE SUPER PAC,165410.5,0.0,,0.0,BROAD_BASED,DEM
C00594507,MIDDLE CLASS VALUES PAC,25010.0,23988.24,0.0,0.0,BROAD_BASED,DEM
C00595686,FAMILY POLICY PAC,2332.42,0.0,,0.0,BROAD_BASED,
C00604496,AMERICANS UNITED FOR VALUES,479353.04,0.0,,0.0,BROAD_BASED,NON_PARTISAN
C00607119,THE PALMETTO PAC,0.0,0.0,,0.0,BROAD_BASED,NON_PARTISAN
C00609388,BLACKPAC,34730788.88,29393201.45,28654410.0,0.9738225137175691,MEGADONOR_DEPENDENT,DEM
C00610337,CONSERVATIVE RESULTS,0.0,0.0,,0.0,BROAD_BASED,
C00610394,LETS CLEAN UP WASHINGTON,0.0,0.0,,0.0,BROAD_BASED,
C00612820,COMMUNITY CHANGE VOTERS,4592032.71,2562576.47,1583720.0,0.6068894901801791,MEGADONOR_DEPENDENT,DEM
C00612846,THE DEMOCRATIC COALITION,10739.24,0.0,,0.0,BROAD_BASED,
C00613091,WISCONSIN RIGHT TO LIFE VICTORY FUND,0.0,0.0,,0.0,BROAD_BASED,
C00614859,SOLUTIONS NJ PAC,0.0,0.0,,0.0,BROAD_BASED,
C00615377,PACOH.IO,0.0,0.0,,0.0,BROAD_BASED,
C00615898,FULL EMPLOYMENT NOW-POLITICAL ACTION COMMITTEE,2367.06,0.0,,0.0,BROAD_BASED,
C00616128,DEFEND LOUISIANA PAC,,,,0.0,BROAD_BASED,
C00619072,TEA PARTY EXPRESS CAMPAIGN FUND,0.0,0.0,,0.0,BROAD_BASED,
C00619445,WARRIOR PAC,0.0,0.0,,0.0,BROAD_BASED,
C00619759,CREATIVE MAJORITY POLITICAL ACTION COMMITTEE,50002.0,0.0,,0.0,BROAD_BASED,NON_PARTISAN
C00620971,FOR OUR FUTURE,12401852.71,11308766.16,7621499.0,0.6569716323378867,MEGADONOR_DEPENDENT,DEM
C00621755,PEOPLE AND POLITICS,2106.17,500.0,0.0,0.0,BROAD_BASED,REP
C00622340,JOBS AND OPPORTUNITY,350000.0,0.0,,0.0,BROAD_BASED,NON_PARTISAN
C00622415,"KENTUCKY TOMORROW, INC.",0.0,0.0,,0.0,BROAD_BASED,
C00622464,STANDING BY VETERANS PAC,290.0,0.0,,0.0,BROAD_BASED,
C00622472,"ASSOCIATION FOR EMERGENCY RESPONDERS AND FIREFIGHTERS, PAC",2369.02,0.0,,0.0,BROAD_BASED,
C00622910,"DECLARATION OF LIBERTY, LLC",0.0,0.0,,0.0,BROAD_BASED,
C00623355,NATIONAL TREASURY EMPLOYEES UNION ADVOCACY COMMITTEE,101421.18,0.0,,0.0,BROAD_BASED,NON_PARTISAN
C00623371,AMERICAN VALUES PAC INC.,0.8,0.0,,0.0,BROAD_BASED,
C00624015,OUR NATION UNITED,0.0,0.0,,0.0,BROAD_BASED,
C00624056,EDUCATORS FOR OHIO,1669330.32,0.0,,0.0,BROAD_BASED,NON_PARTISAN
C00624064,KENTUCKY MOVING FORWARD,,,,0.0,BROAD_BASED,
C00625137,CITZENS FOR AMERICAN ENERGY FEDERAL PAC,25000.0,20000.0,,0.0,BROAD_BASED,NON_PARTISAN
C00625228,SAVE THE DAY PAC,4.45,0.0,,0.0,BROAD_BASED,
C00626036,GRASSROOTS NORTH SHORE,9545.49,1496.42,0.0,0.0,BROAD_BASED,DEM
C00626119,"COMMITTEE FOR WORKING FAMILIES, SPONSORED BY LABOR ORGANIZATIONS",12396.76,0.0,,0.0,BROAD_BASED,
C00626663,STRONGER NY PAC,0.0,0.0,,0.0,BROAD_BASED,
C00626861,WFP IE COMMITTEE,46677.49,0.0,,0.0,BROAD_BASED,NON_PARTISAN
C00627075,LEGISLATIVE MAJORITY PAC,2608064.19,0.0,,0.0,BROAD_BASED,
C00627141,UNITED FOR PROGRESS PAC,156802.06,324.0,0.0,0.0,BROAD_BASED,DEM
C00627158,ONE VOTE AT A TIME,0.0,0.0,,0.0,BROAD_BASED,
C00627240,WORKING MICHIGAN (SUPERPAC),0.0,0.0,,0.0,BROAD_BASED,
C00627372,UNITE HERE PAC,15382500.0,0.0,,0.0,BROAD_BASED,NON_PARTISAN
C00627414,POLICY OVER PARTY,950000.0,0.0,,0.0,BROAD_BASED,NON_PARTISAN
C00628115,MISSOURI RIGHT TO LIFE VICTORY FUND,905.61,9392.0,0.0,0.0,BROAD_BASED,REP
C00629444,MAKE LOUISIANA GREAT AGAIN,19.16,0.0,,0.0,BROAD_BASED,
C00629477,ULTRAVIOLET PAC,135720.81,98901.28,55901.0,0.45484577017274064,MEGADONOR_INFLUENCED,DEM
C00629543,"FREEDOM BUILDERS, INC.",0.0,0.0,,0.0,BROAD_BASED,
C00630129,DEMOCRACY LEGACY,465318.8,0.0,,0.0,BROAD_BASED,
C00631549,FORWARD MAJORITY ACTION,38140024.31,1763615.0,1294000.0,0.7337202280543089,MEGADONOR_DEPENDENT,DEM
C00631903,PA VALUES,325580.2,48000.0,48000.0,1.0,MEGADONOR_DEPENDENT,REP
C00632679,CONSERVATIVE LOUISIANA,577750.7,0.0,,0.0,BROAD_BASED,
C00634261,DEFEND US PAC,1617187.6,1201000.0,1200000.0,0.9991673605328892,MEGADONOR_DEPENDENT,DEM
C00637041,FUND FOR A WORKING CONGRESS,225000.0,35000.0,35000.0,1.0,MEGADONOR_DEPENDENT,DEM
C00637348,REACH TO ACHIEVE,1033.86,0.0,,0.0,BROAD_BASED,NON_PARTISAN
C00637512,"AMERICA FIRST ACTION, INC.",562632.0,0.0,,0.0,BROAD_BASED,NON_PARTISAN
C00637520,OHIO MAJORITY TRUST,0.0,0.0,,0.0,BROAD_BASED,
C00638528,LOUISIANA LEGACY PAC,1303204.62,22390.0,0.0,0.0,BROAD_BASED,REP
C00639708,ASSOCIATION FOR FIREFIGHTERS PAC DBA ASSOCIATION FOR FIREFIGHTERS,26602.87,4088.0,0.0,0.0,BROAD_BASED,REP
C00639948,EQUALITY 51,48914.4,0.0,,0.0,BROAD_BASED,
C00640300,ACTIVATE AMERICA,1523364.84,110841.62,19479.0,0.16664385319531183,BROAD_BASED,BIPARTISAN
C00647271,LINCOLN-ROOSEVELT PAC,0.0,0.0,,0.0,BROAD_BASED,
C00647289,GUARD FREEDOM,0.0,0.0,,0.0,BROAD_BASED,
C00648717,SWAMP DRAINERS FOUNDATION,1419.0,0.0,,0.0,BROAD_BASED,
C00649996,1ST DISTRICT DEMOCRATS,9125.78,0.0,,0.0,BROAD_BASED,
C00650432,"DEMOCRATS WORK FOR AMERICA, INC",55800.67,10578.09,0.0,0.0,BROAD_BASED,DEM
C00651091,LEADERSHIP FOR A STRONG AMERICA,16500.0,0.0,,0.0,BROAD_BASED,
